time, temperature_out, pressure_out, humidity_out, temperature_hoop1, temperature_hoop2, temperature_basement, wind_average, wind_speed, wind_gust, rainfall
2021-03-17 12:54:24, 47.225941389604706, 1020.5427891694417, 53.068272162346354, 58.775000000000006, 95.1116, 47.525, 47.24915631837073, 0.5449406616916855, 0.8007291355469665, 0.0
2021-03-17 12:54:57, 47.29042210401967, 1020.6041970184082, 53.459652546679415, 59.0, 95.1116, 47.525, 63.66844638372542, 0.5894256136665169, 0.7340017075847193, 0.0
2021-03-17 12:55:30, 47.281210571817354, 1020.6474446869548, 52.300082990727525, 59.0, 95.3366, 47.525, 60.60976586242448, 0.5115769477105618, 0.667274279622472, 0.0
2021-03-17 12:56:03, 47.30884516999591, 1020.6217424647283, 53.27045115553209, 59.0, 95.45, 47.525, 58.55767249491017, 0.6783955176161799, 0.8674565635092136, 0.0
2021-03-17 12:56:36, 47.318056703769834, 1020.6305152456471, 53.04853156248754, 59.225, 95.5616, 47.525, 72.96013849301276, 0.83409284952809, 0.9341839914714608, 0.0
2021-03-17 12:57:09, 47.33647977288929, 1020.59603802345, 52.593795979226066, 59.225, 95.78659999999999, 47.525, 62.340097692097075, 0.6005468516602248, 0.9341839914714608, 0.0
2021-03-17 12:57:42, 47.32726823806763, 1020.5872656042462, 52.10049793974308, 58.8866, 95.9, 47.525, 86.70043881470923, 0.3002734258301124, 0.4003645677734832, 0.0
2021-03-17 12:58:15, 47.33647977288929, 1020.6480609229928, 52.4420754314208, 58.6616, 96.0116, 47.525, 41.50840839667707, 0.667274279622472, 0.9341839914714608, 0.0
2021-03-17 12:58:48, 47.26278750898433, 1020.5778791377539, 52.348480711637016, 58.8866, 96.125, 47.525, 39.79288567995065, 0.7228804695910114, 0.8674565635092136, 0.0
2021-03-17 12:59:21, 47.21672986106947, 1020.6380513663337, 52.42882768889269, 59.111599999999996, 96.2366, 47.525, 43.26392762293414, 0.7228804695910114, 1.0676388473959553, 0.0
2021-03-17 12:59:54, 47.189095278606985, 1020.611731777966, 52.64497243240841, 59.5616, 96.35000000000001, 47.6366, 23.784447480520715, 0.5894256136665169, 0.7340017075847193, 0.0
2021-03-17 13:00:27, 47.170672226251334, 1020.6462007812521, 52.33038242984803, 59.675, 96.575, 47.6366, 27.083726533801332, 0.4337282817546068, 0.5338194236979776, 0.0
2021-03-17 13:01:00, 47.17988375216723, 1020.6029586589102, 52.99147338444074, 59.336600000000004, 96.6866, 47.525, 84.01645631914458, 0.5115769477105618, 0.667274279622472, 0.0
2021-03-17 13:01:33, 47.152249175991166, 1020.5766395329706, 52.43836399011514, 59.5616, 96.91159999999999, 47.525, 113.74830912679288, 0.22242475987415733, 0.333637139811236, 0.0
2021-03-17 13:02:06, 47.207518333058104, 1020.6552866021761, 52.688688159576756, 59.675, 96.8, 47.6366, 20.02834778144436, 0.6450318036350563, 0.8674565635092136, 0.0
2021-03-17 13:02:39, 47.21672986106947, 1020.716077485896, 52.62386633037355, 59.900000000000006, 96.8, 47.6366, 49.0430833995544, 0.5671831376791012, 0.8007291355469665, 0.0
2021-03-17 13:03:12, 47.26278750898433, 1020.6298985942744, 53.128632819480764, 60.125, 96.91159999999999, 47.6366, 344.5264508350362, 0.333637139811236, 0.4670919957357304, 0.0
2021-03-17 13:03:45, 47.33647977288929, 1020.7000838892404, 53.28728915946199, 60.461600000000004, 95.0, 47.6366, 12.995406471981177, 0.6339105656413484, 0.8007291355469665, 0.0
2021-03-17 13:04:19, 47.32726823806763, 1020.7433331868262, 52.5448427081646, 60.125, 94.55000000000001, 47.6366, 32.09258409290561, 0.5894256136665169, 0.667274279622472, 0.0
2021-03-17 13:04:52, 47.465441315398785, 1020.6928414377787, 53.409224330389144, 60.125, 95.0, 47.6366, 67.7937762213813, 0.923062753477753, 1.0676388473959553, 0.0
2021-03-17 13:05:25, 47.53913367150468, 1020.6849760789685, 53.12901998149774, 60.35, 95.225, 47.6366, 70.5424757277079, 0.6005468516602248, 0.8007291355469665, 0.0
2021-03-17 13:05:58, 47.649672268527794, 1020.738210119072, 53.35896306894418, 60.35, 95.1116, 47.6366, 36.194684670446264, 0.6450318036350563, 0.8007291355469665, 0.0
2021-03-17 13:06:31, 47.70494159532827, 1020.6867650917361, 52.785588488516645, 60.125, 95.0, 47.6366, 26.956555485699816, 0.5226981857042697, 0.6005468516602248, 0.0
2021-03-17 13:07:04, 47.76021094098803, 1020.7393964801996, 52.6674556582138, 59.111599999999996, 94.88659999999999, 47.6366, 49.929242614269654, 0.6005468516602248, 0.8007291355469665, 0.0
2021-03-17 13:07:37, 47.77863406039891, 1020.7048970243076, 52.754572746007625, 59.111599999999996, 94.88659999999999, 47.6366, 52.435438829639175, 0.41148580576719107, 0.5338194236979776, 0.0
2021-03-17 13:08:10, 47.824691868093794, 1020.6446644545287, 53.08621846575319, 59.0, 94.88659999999999, 47.6366, 80.8307189152377, 0.5894256136665169, 0.7340017075847193, 0.0
2021-03-17 13:08:43, 47.833903431204384, 1020.6534354393592, 52.22975926584899, 59.336600000000004, 95.1116, 47.6366, 57.39211358660095, 0.7006379936035956, 0.8674565635092136, 0.0
2021-03-17 13:09:16, 47.833903431204384, 1020.6013894476838, 53.482132505761776, 59.5616, 95.45, 47.6366, 86.09460009200566, 0.31139466382382025, 0.4003645677734832, 0.0
2021-03-17 13:09:49, 47.843114994838835, 1020.6101600321014, 52.7396271514915, 59.45, 95.9, 47.75, 23.58253660781723, 0.3892433297797754, 0.7340017075847193, 0.0
