time, temperature_out, pressure_out, humidity_out, temperature_hoop1, temperature_hoop2, temperature_basement, wind_average, wind_speed, wind_gust, rainfall
2021-04-06 00:20:21, 33.943461521203865, 1008.8332940493598, 89.05589840800238, 38.75, 36.6116, 53.825, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:20:54, 33.91582920342684, 1008.8585134050389, 89.05923899224494, 38.8616, 36.6116, 53.825, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:21:27, 33.90661843188224, 1008.8240976496518, 89.02699484043889, 38.75, 36.6116, 53.825, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:22:00, 33.8974076608615, 1008.8153751819971, 88.97895009416526, 38.75, 36.6116, 53.825, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:22:33, 33.86977535094251, 1008.8919767452701, 88.95595871718159, 38.6366, 36.6116, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:23:06, 33.83293227838469, 1008.8570842933945, 89.00606006101845, 38.6366, 36.6116, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:23:39, 33.82372151155491, 1008.8226701713519, 89.13181123582959, 38.525, 36.6116, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:24:13, 33.82372151155491, 1008.8226701713519, 89.32139160738049, 38.6366, 36.6116, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:24:46, 33.81451074524899, 1008.8653292265565, 89.4471254656619, 38.6366, 36.6116, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:25:19, 33.786878449474465, 1008.8648501883861, 89.66632874194426, 38.75, 36.5, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:25:52, 33.759246158414754, 1008.7873013776112, 89.80126624546202, 38.75, 36.5, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:26:25, 33.759246158414754, 1008.7616117927637, 89.86970745821021, 38.75, 36.5, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:26:58, 33.74082463366096, 1008.7955452275426, 89.83155117032037, 38.8616, 36.5, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:27:31, 33.731613872069865, 1008.8638893508904, 89.75719523657442, 38.975, 36.5, 53.711600000000004, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:28:05, 33.68556007197243, 1008.7688968398626, 89.67497476773427, 38.975, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:28:38, 33.703981590439795, 1008.7863425302952, 89.5867757041285, 38.975, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:29:11, 33.68556007197243, 1008.7688968398626, 89.5223020909031, 38.975, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:29:44, 33.66713855560054, 1008.8028262339387, 89.6262954404659, 38.8616, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:30:17, 33.63950628497172, 1008.7252833391094, 89.74015773054458, 38.6366, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:30:50, 33.61187401905772, 1008.8018604009194, 89.90664379238949, 38.525, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:31:23, 33.59345251106774, 1008.8100995640744, 89.95797204840048, 38.525, 36.5, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:31:56, 33.59345251106774, 1008.7587280395247, 89.90533795534711, 38.6366, 36.3866, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:32:29, 33.57503100517322, 1008.7926526862208, 89.8303446978324, 38.525, 36.3866, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:33:03, 33.538187999670626, 1008.7834439054773, 89.72247081571206, 38.525, 36.3866, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:33:36, 33.519766500062545, 1008.7659970888761, 89.60537591056574, 38.4116, 36.3866, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:34:09, 33.473712760210034, 1008.7480637393381, 89.48633796154444, 38.4116, 36.3866, 53.6, 180.0, 0.0, 0.0, 0.0
2021-04-06 00:34:42, 33.446080522584964, 1008.7218937932826, 89.41070917657692, 38.525, 36.3866, 53.6, 180.0, 0.0, 0.0, 0.0
